Participant,Métier,Action_ID,Action,Avant_formation,Après_formation,Statut,Commentaire
[Nom participant],Réception,REC_CHECKIN,Réaliser un check-in complet,,,,
[Nom participant],Réception,REC_CHECKOUT,Gérer un check-out,,,,
[Nom participant],Réception,REC_INFO,Donner une information standard,,,,
[Nom participant],Réception,REC_COMPLAINT,Gérer une réclamation,,,,
[Nom participant],Réception,REC_CHANGE,Changer de chambre,,,,
[Nom participant],Housekeeping,HK_ENTRY,Demander l'autorisation d'entrer,,,,
[Nom participant],Housekeeping,HK_CLEAN,Expliquer le nettoyage,,,,
[Nom participant],Housekeeping,HK_REQUEST,Répondre à une demande client,,,,
[Nom participant],Housekeeping,HK_COMPLAINT,Gérer une plainte chambre,,,,
[Nom participant],Housekeeping,HK_PROBLEM,Signaler un problème technique,,,,
[Nom participant],Restaurant,REST_WELCOME,Accueillir et installer,,,,
[Nom participant],Restaurant,REST_ORDER,Prendre une commande complète,,,,
[Nom participant],Restaurant,REST_SERVE,Servir et vérifier satisfaction,,,,
[Nom participant],Restaurant,REST_COMPLAINT,Gérer un problème de service,,,,
[Nom participant],Restaurant,REST_BILL,Présenter l'addition et encaisser,,,,
[Nom participant],Sécurité,SEC_CONTROL,Contrôler un accès,,,,
[Nom participant],Sécurité,SEC_DIRECT,Orienter un client,,,,
[Nom participant],Sécurité,SEC_RULE,Expliquer une règle,,,,
[Nom participant],Sécurité,SEC_CONFLICT,Désamorcer une tension,,,,
[Nom participant],Sécurité,SEC_INCIDENT,Gérer un incident nocturne,,,,
