Action_ID,Phrase_ID,Phrase_FR,Phrase_EN,Phase,Niveau,Voice_type,Audio_url
REC_CHECKIN,REC_CHECKIN_0a7eec62,Bonjour. Bienvenue.,Good morning. Welcome.,Accueil,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_1f6f53fc,Bonsoir. Bienvenue.,Good evening. Welcome.,Accueil,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_a7d74418,Vous avez réservation ?,Reservation?,Verification,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_5387faca,Votre nom ?,Your name?,Verification,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_04e54f21,Je vérifie.,Let me check.,Verification,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_7c609321,Passeport s'il vous plaît.,Passport please.,Identification,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_3b949fdd,Chambre 302.,Room 302.,Attribution,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_88fd5803,Voici la clé.,Here is key.,Attribution,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_3e640796,Troisième étage.,Third floor.,Attribution,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_c91930c0,Petit-déjeuner 7h-10h.,Breakfast 7 to 10.,Information,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_429d6aaf,Bon séjour.,Enjoy your stay.,Cloture,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_a4502859,Je comprends.,I understand.,Conflit,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_c7516250,Vous pouvez épeler ?,Can you spell?,Conflit,A1,STAFF,
REC_CHECKIN,REC_CHECKIN_06249677,Email de confirmation ?,Confirmation email?,Conflit,A1,STAFF,
REC_CHECKOUT,REC_CHECKOUT_2bce59dc,Vous partez ?,Checking out?,Ouverture,A1,STAFF,
REC_CHECKOUT,REC_CHECKOUT_55369c12,Minibar ?,Minibar?,Verification,A1,STAFF,
REC_CHECKOUT,REC_CHECKOUT_c7fb2bf2,Voici la facture.,Here is bill.,Facturation,A1,STAFF,
REC_CHECKOUT,REC_CHECKOUT_b141ccf3,Total : 150 000.,"Total: 150,000.",Facturation,A1,STAFF,
REC_CHECKOUT,REC_CHECKOUT_a2e5ff2c,Carte ou espèces ?,Card or cash?,Paiement,A1,STAFF,
REC_CHECKOUT,REC_CHECKOUT_5ab08941,Signez ici.,Sign here.,Paiement,A1,STAFF,
REC_CHECKOUT,REC_CHECKOUT_984d6f9d,Merci. Bon voyage.,Thank you. Safe journey.,Cloture,A1,STAFF,
REC_CHECKOUT,REC_CHECKOUT_33ecef3c,Je vérifie avec ménage.,I check with housekeeping.,Conflit,A2,STAFF,
REC_CHECKOUT,REC_CHECKOUT_3eeef47d,Je retire ce montant.,I remove this.,Conflit,A1,STAFF,
REC_CHECKOUT,REC_CHECKOUT_df049b05,Facture corrigée.,Corrected bill.,Conflit,A1,STAFF,
REC_INFO,REC_INFO_e32303bf,Mot de passe sur la carte.,Password on card.,Information,A1,STAFF,
REC_INFO,REC_INFO_f1fbc304,Wi-Fi gratuit.,Wi-Fi free.,Information,A1,STAFF,
REC_INFO,REC_INFO_da5143ca,Petit-déjeuner inclus.,Breakfast included.,Information,A1,STAFF,
REC_INFO,REC_INFO_84d1d67c,Piscine ferme 22h.,Pool closes 10 PM.,Information,A1,STAFF,
REC_INFO,REC_INFO_36c67ff7,Je vous aide.,Let me help.,Conflit,A1,STAFF,
REC_INFO,REC_INFO_ec35cfd7,Ça marche ?,Working now?,Conflit,A1,STAFF,
REC_COMPLAINT,REC_COMPLAINT_a3c5e084,Désolé d'entendre ça.,Sorry to hear that.,Empathie,A1,STAFF,
REC_COMPLAINT,REC_COMPLAINT_4a09576a,Je comprends.,I understand.,Empathie,A1,STAFF,
REC_COMPLAINT,REC_COMPLAINT_bb8bbba7,Je m'en occupe.,I take care of it.,Action,A1,STAFF,
REC_COMPLAINT,REC_COMPLAINT_2fb6189c,Autre chambre possible.,Another room possible.,Solution,A2,STAFF,
REC_COMPLAINT,REC_COMPLAINT_ab19b866,Geste commercial ?,Something free for you?,Compensation,A2,STAFF,
REC_COMPLAINT,REC_COMPLAINT_6d9632c8,Parler au manager ?,Speak to manager?,Escalade,A1,STAFF,
REC_COMPLAINT,REC_COMPLAINT_ae337d71,Vous avez raison.,You're right.,Conflit,A1,STAFF,
REC_COMPLAINT,REC_COMPLAINT_9fa7c1ce,J'appelle maintenant.,I call now.,Conflit,A1,STAFF,
REC_CHANGE,REC_CHANGE_419f7a1d,Je vérifie dispo.,I check availability.,Verification,A1,STAFF,
REC_CHANGE,REC_CHANGE_dbbac387,"Chambre 512, 5ème.","Room 512, 5th floor.",Proposition,A1,STAFF,
REC_CHANGE,REC_CHANGE_e2058607,Aide avec bagages ?,Help with bags?,Service,A1,STAFF,
REC_CHANGE,REC_CHANGE_3ee350c1,Je vous change maintenant.,I move you now.,Conflit,A1,STAFF,
REC_CHANGE,REC_CHANGE_43876b12,Dîner gratuit. Désolé.,Free dinner. Sorry.,Conflit,A2,STAFF,
HK_ENTRY,HK_ENTRY_0360eb4a,Ménage !,Housekeeping!,Annonce,A1,STAFF,
HK_ENTRY,HK_ENTRY_301f77f9,Je peux entrer ?,Come in?,Permission,A1,STAFF,
HK_ENTRY,HK_ENTRY_d5722764,Je nettoie. 20 minutes.,I clean. 20 minutes.,Explication,A1,STAFF,
HK_ENTRY,HK_ENTRY_3348c060,OK. Je reviens.,OK. I come back.,Acceptation,A1,STAFF,
